movies,similar
Cinderella Man (2005),"Ray (2004);Million Dollar Baby (2004);Crash (2004);Walk the Line (2005);Aviator, The (2004);North Country (2005);Munich (2005);World's Fastest Indian, The (2005);Pursuit of Happyness, The (2006);Breach (2007)"
"Sisterhood of the Traveling Pants, The (2005)","Music and Lyrics (2007);Just Like Heaven (2005);Sisterhood of the Traveling Pants 2, The (2008);Because I Said So (2007);Wedding Date, The (2005);13 Going on 30 (2004);Family Stone, The (2005);Holiday, The (2006);27 Dresses (2008);Ice Princess (2005)"
Lords of Dogtown (2005),"Last Kiss, The (2006);The Chumscrubber (2005);United States of Leland, The (2003);Black Snake Moan (2006);Eulogy (2004);Reign Over Me (2007);Jarhead (2005);Candy (2006);Imaginary Heroes (2004);Alpha Dog (2007)"
Rock School (2005),"Matador, The (2005);Hustle & Flow (2005);Millions (2004);Weather Man, The (2005);Murderball (2005);Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003);Who Killed the Electric Car? (2006);Aristocrats, The (2005);This Film Is Not Yet Rated (2006);Inside Deep Throat (2005)"
Mr. & Mrs. Smith (2005),"Ocean's Twelve (2004);National Treasure (2004);Hitch (2005);Da Vinci Code, The (2006);Mission: Impossible III (2006);Ocean's Thirteen (2007);Legend of Zorro, The (2005);Troy (2004);Sahara (2005);Whole Ten Yards, The (2004)"
"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",Zoom (2006);Son of the Mask (2005);G-Force (2009);BloodRayne (2005);Yu-Gi-Oh! (2004);Underdog (2007);Prom Night (2008);Arthur and the Invisibles (2007);Street Fighter: The Legend of Chun-Li (2009);Blood and Chocolate (2007)
High Tension (Haute tension) (Switchblade Romance) (2003),"Devil's Rejects, The (2005);Ju-on: The Grudge (2002);Descent, The (2005);Cabin Fever (2002);Hills Have Eyes, The (2006);House of 1000 Corpses (2003);Dead End (2003);Land of the Dead (2005);Feast (2005);Session 9 (2001)"
Ladies in Lavender (2004),Sweet Land (2005);Mrs. Henderson Presents (2005);Stage Beauty (2004);Miss Potter (2006);Zelary (2003);Kinky Boots (2005);Being Julia (2004);Akeelah and the Bee (2006);Miss Pettigrew Lives for a Day (2008);Last Chance Harvey (2008)
It's All Gone Pete Tong (2004),"Wackness, The (2008);Hard Candy (2005);He Was a Quiet Man (2007);Death at a Funeral (2007);Eagle vs Shark (2007);Boy A (2007);Cashback (2006);This Is England (2006);Rocket Science (2007);City of Men (Cidade dos Homens) (2007)"
Eddie Izzard: Dress to Kill (1999),Fawlty Towers (1975-1979);Geri's Game (1997);ParaNorman (2012);Tinker Tailor Soldier Spy (2011);Jiro Dreams of Sushi (2011);Calvary (2014);Hugo (2011);Louis C.K.: Oh My God (2013);Day & Night (2010);Beasts of the Southern Wild (2012)
Batman Begins (2005),"Casino Royale (2006);V for Vendetta (2006);Iron Man (2008);Sin City (2005);Prestige, The (2006);Spider-Man 2 (2004);Serenity (2005);Dark Knight, The (2008);300 (2007);Incredibles, The (2004)"
"Perfect Man, The (2005)","Raise Your Voice (2004);Just My Luck (2006);Cinderella Story, A (2004);John Tucker Must Die (2006);She's the Man (2006);Sydney White (2007);Ice Princess (2005);Stick It (2006);Bride Wars (2009);Back-up Plan, The (2010)"
My Summer of Love (2004),"Dreamers, The (2003);Where the Truth Lies (2005);Young Adam (2003);Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005);Heaven (2002);Paradise Now (2005);Nine Lives (2005);Intimate Strangers (Confidences trop intimes) (2004);Mysterious Skin (2004);Shortbus (2006)"
Heights (2004),"Mother, The (2003);Friends with Money (2006);Infamous (2006);Venus (2006);SherryBaby (2006);Off the Map (2003);We Don't Live Here Anymore (2004);Nine Lives (2005);A Home at the End of the World (2004);Junebug (2005)"
Saint Ralph (2004),"Prize Winner of Defiance Ohio, The (2005);Akeelah and the Bee (2006);North Country (2005);Dear Frankie (2004);Paper Clips (2004);Proof (2005);Unfinished Life, An (2005);Zelary (2003);Veronica Guerin (2003);I Am David (2003)"
Herbie: Fully Loaded (2005),"Pacifier, The (2005);Agent Cody Banks (2003);RV (2006);Bewitched (2005);Cheaper by the Dozen 2 (2005);Santa Clause 3: The Escape Clause, The (2006);Miss Congeniality 2: Armed and Fabulous (2005);Shaggy Dog, The (2006);Agent Cody Banks 2: Destination London (2004);Christmas with the Kranks (2004)"
Land of the Dead (2005),"Cabin Fever (2002);Slither (2006);Dog Soldiers (2002);Devil's Rejects, The (2005);Undead (2003);House of 1000 Corpses (2003);Night of the Living Dead (1990);Feast (2005);Ju-on: The Grudge (2002);High Tension (Haute tension) (Switchblade Romance) (2003)"
Bewitched (2005),"Herbie: Fully Loaded (2005);Pacifier, The (2005);Christmas with the Kranks (2004);Ella Enchanted (2004);Failure to Launch (2006);John Tucker Must Die (2006);RV (2006);Just Like Heaven (2005);Miss Congeniality 2: Armed and Fabulous (2005);Cheaper by the Dozen 2 (2005)"
Rize (2005),"Control Room (2004);Murderball (2005);Born into Brothels (2004);Rivers and Tides (2001);Enron: The Smartest Guys in the Room (2005);Promises (2001);Weather Underground, The (2002);My Architect: A Son's Journey (2003);Dirty Pretty Things (2002);Yes Men, The (2003)"
Me and You and Everyone We Know (2005),"Squid and the Whale, The (2005);Thumbsucker (2005);Half Nelson (2006);Devil and Daniel Johnston, The (2005);Mysterious Skin (2004);Broken Flowers (2005);My Summer of Love (2004);Dreamers, The (2003);Margot at the Wedding (2007);Shortbus (2006)"
"Perfect Crime, The (Crimen Ferpecto) (Ferpect Crime) (2004)","Ax, The (couperet, Le) (2005);99 francs (2007);Adam's Apples (Adams æbler) (2005);Soul Kitchen (2009);Art of Negative Thinking, The (Kunsten å tenke negativt) (2006);Edukators, The (Die Fetten Jahre sind vorbei) (2004);Bothersome Man, The (Brysomme mannen, Den) (2006);Micmacs (Micmacs à tire-larigot) (2009);In July (Im Juli) (2000);Ben X (2007)"
3 Extremes (Three... Extremes) (Saam gaang yi) (2004),"Audition (Ôdishon) (1999);Tale of Two Sisters, A (Janghwa, Hongryeon) (2003);Visitor Q (Bizita Q) (2001);Ichi the Killer (Koroshiya 1) (2001);Pulse (Kairo) (2001);Happiness of the Katakuris, The (Katakuri-ke no kôfuku) (2001);Dead or Alive: Hanzaisha (1999);Suicide Club (Jisatsu saakuru) (2001);Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002);Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003)"
"Edukators, The (Die Fetten Jahre sind vorbei) (2004)","C.R.A.Z.Y. (2005);Head-On (Gegen die Wand) (2004);Good bye, Lenin! (2003);Edge of Heaven, The (Auf der anderen Seite) (2007);Volver (2006);Russian Dolls (Les poupées russes) (2005);Sea Inside, The (Mar adentro) (2004);Mondays in the Sun (Lunes al sol, Los) (2002);In July (Im Juli) (2000);Dreamers, The (2003)"
Cop and ½ (1993),"Friends with Kids (2011);American Teen (2008);Cadillac Records (2008);Dreamgirls (2006);Nine (2009);September Issue, The (2009);Stop-Loss (2008);Hairspray (2007);Friday Night Lights (2004);Kids Are All Right, The (2010)"
War of the Worlds (2005),"King Kong (2005);Superman Returns (2006);I, Robot (2004);Island, The (2005);Day After Tomorrow, The (2004);Mission: Impossible III (2006);X-Men: The Last Stand (2006);Spider-Man 3 (2007);Hellboy (2004);I Am Legend (2007)"
"March of the Penguins (Marche de l'empereur, La) (2005)","Inconvenient Truth, An (2006);Millions (2004);Constant Gardener, The (2005);Mad Hot Ballroom (2005);Tsotsi (2005);Queen, The (2006);Ray (2004);Akeelah and the Bee (2006);Born into Brothels (2004);Water (2005)"
Dark Water (2005),"Exorcism of Emily Rose, The (2005);Skeleton Key, The (2005);Dead End (2003);Ruins, The (2008);Texas Chainsaw Massacre: The Beginning, The (2006);Hills Have Eyes, The (2006);Hostel (2005);Darkness (2002);High Tension (Haute tension) (Switchblade Romance) (2003);Grudge 2, The (2006)"
"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)","Child, The (L'enfant) (2005);Lust, Caution (Se, jie) (2007);Paradise Now (2005);Hidden (a.k.a. Cache) (Caché) (2005);4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007);Nobody Knows (Dare mo shiranai) (2004);Open Hearts (Elsker dig for evigt) (2002);Brothers (Brødre) (2004);Class, The (Entre les murs) (2008);5x2 (2004)"
Fantastic Four (2005),Fantastic Four: Rise of the Silver Surfer (2007);Ghost Rider (2007);Elektra (2005);Van Helsing (2004);Underworld: Evolution (2006);Jumper (2008);Ultraviolet (2006);Spider-Man 3 (2007);Stealth (2005);Journey to the Center of the Earth (2008)
Murderball (2005),Enron: The Smartest Guys in the Room (2005);Wordplay (2006);Born into Brothels (2004);Control Room (2004);Hustle & Flow (2005);Millions (2004);Kinsey (2004);Rize (2005);Capote (2005);Mad Hot Ballroom (2005)
Saraband (2003),"Camera Buff (Amator) (1979);Scenes From a Marriage (Scener ur ett äktenskap) (1973);Ten (2002);Winter Light (Nattvardsgästerna) (1963);Son, The (Le fils) (2002);Kanal (1957);Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut) (1956);Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud) (1958);Hiroshima Mon Amour (1959);Vitelloni, I (a.k.a. The Young and the Passionate) (1953)"
Wedding Crashers (2005),"40-Year-Old Virgin, The (2005);Dodgeball: A True Underdog Story (2004);Talladega Nights: The Ballad of Ricky Bobby (2006);Old School (2003);Anchorman: The Legend of Ron Burgundy (2004);Knocked Up (2007);Harold and Kumar Go to White Castle (2004);Waiting... (2005);Blades of Glory (2007);Forgetting Sarah Marshall (2008)"
Happy Endings (2005),"Friends with Money (2006);A Home at the End of the World (2004);Heights (2004);Kinsey (2004);Transamerica (2005);Quinceañera (2006);Shopgirl (2005);Laramie Project, The (2002);Pieces of April (2003);Safety of Objects, The (2001)"
Russian Dolls (Les poupées russes) (2005),"Caramel (Sukkar banat) (2007);Edukators, The (Die Fetten Jahre sind vorbei) (2004);Spanish Apartment, The (L'auberge espagnole) (2002);Priceless (Hors de prix) (2006);Paris, I Love You (Paris, je t'aime) (2006);Valentin (Valentín) (2002);Vicky Cristina Barcelona (2008);In July (Im Juli) (2000);C.R.A.Z.Y. (2005);Volver (2006)"
Hustle & Flow (2005),"Murderball (2005);Talk to Me (2007);SherryBaby (2006);Hoax, The (2007);Friends with Money (2006);Catch a Fire (2006);Enron: The Smartest Guys in the Room (2005);Three Burials of Melquiades Estrada, The (2006);Intermission (2003);Matador, The (2005)"
Hardware (1990),"From Beyond (1986);Last Man on Earth, The (Ultimo uomo della Terra, L') (1964);Prince of Darkness (1987);Call of Cthulhu, The (2005);Scanners (1981);Dark Star (1974);Nightbreed (1990);Undead (2003);They Live (1988);Phenomena (a.k.a. Creepers) (1985)"
"Island, The (2005)","Déjà Vu (Deja Vu) (2006);Next (2007);Day After Tomorrow, The (2004);Constantine (2005);Paycheck (2003);Aeon Flux (2005);I, Robot (2004);Chronicles of Riddick, The (2004);Jumper (2008);Number 23, The (2007)"
Bad News Bears (2005),"Stuck on You (2003);Jersey Girl (2004);Dickie Roberts: Former Child Star (2003);Without a Paddle (2004);Barbershop 2: Back in Business (2004);Ringer, The (2005);Benchwarmers, The (2006);Waiting... (2005);Reno 911!: Miami (2007);Fever Pitch (2005)"
"Devil's Rejects, The (2005)","House of 1000 Corpses (2003);High Tension (Haute tension) (Switchblade Romance) (2003);Hills Have Eyes, The (2006);Land of the Dead (2005);Cabin Fever (2002);Feast (2005);Halloween (2007);Slither (2006);Hostel (2005);Descent, The (2005)"
Last Days (2005),"Gerry (2002);Palindromes (2004);Brown Bunny, The (2003);Five Obstructions, The (Fem benspænd, De) (2003);Tarnation (2003);Undertow (2004);Bubble (2006);Elephant (2003);Paranoid Park (2007);Child, The (L'enfant) (2005)"
Sky High (2005),"Zathura (2005);Chicken Little (2005);My Super Ex-Girlfriend (2006);Robots (2005);Bewitched (2005);Night at the Museum (2006);Nanny McPhee (2005);Over the Hedge (2006);Superman Returns (2006);Ant Bully, The (2006)"
Stealth (2005),"Elektra (2005);Timeline (2003);Sahara (2005);Ghost Rider (2007);Fantastic Four (2005);Flight of the Phoenix (2004);Ultraviolet (2006);Poseidon (2006);Core, The (2003);Paycheck (2003)"
Must Love Dogs (2005),"Rumor Has It... (2005);Wimbledon (2004);Catch and Release (2006);Family Stone, The (2005);Shall We Dance? (2004);Under the Tuscan Sun (2003);Music and Lyrics (2007);Laws of Attraction (2004);Fever Pitch (2005);Wedding Date, The (2005)"
"Aristocrats, The (2005)","Sarah Silverman: Jesus Is Magic (2005);Strangers with Candy (2005);This Film Is Not Yet Rated (2006);Bad Santa (2003);Matador, The (2005);Rock School (2005);Melvin Goes to Dinner (2003);For Your Consideration (2006);Block Party (a.k.a. Dave Chappelle's Block Party) (2005);Art School Confidential (2006)"
Georgy Girl (1966),"Prime of Miss Jean Brodie, The (1969);Turning Point, The (1977);I Remember Mama (1948);That's Entertainment, Part II (1976);Here Comes Mr. Jordan (1941);Country Girl, The (1954);Long, Hot Summer, The (1958);That's Entertainment (1974);Pat and Mike (1952);Dresser, The (1983)"
Serenity (2005),Battlestar Galactica (2003);Farscape: The Peacekeeper Wars (2004);Dr. Horrible's Sing-Along Blog (2008);Battlestar Galactica: Razor (2007);V for Vendetta (2006);Watchmen (2009);Equilibrium (2002);Star Trek (2009);Stardust (2007);Hot Fuzz (2007)
Broken Flowers (2005),"Coffee and Cigarettes (2003);Me and You and Everyone We Know (2005);Squid and the Whale, The (2005);Match Point (2005);Elephant (2003);Thumbsucker (2005);Control (2007);Factotum (2005);Dear Wendy (2005);Palindromes (2004)"
"Browning Version, The (1951)","Naked City, The (1948);Fallen Idol, The (1948);Fury (1936);Nightmare Alley (1947);Sorrow and the Pity, The (Le chagrin et la pitié) (1969);Odd Man Out (1947);Panic in the Streets (1950);Seance on a Wet Afternoon (1964);Young Mr. Lincoln (1939);Narrow Margin, The (1952)"
"Dukes of Hazzard, The (2005)","Walking Tall (2004);Whole Ten Yards, The (2004);EuroTrip (2004);Be Cool (2005);Longest Yard, The (2005);Benchwarmers, The (2006);Ringer, The (2005);Bad Boys II (2003);Into the Blue (2005);Punisher, The (2004)"
The Chumscrubber (2005),"United States of Leland, The (2003);Manic (2001);Everything Is Illuminated (2005);Thumbsucker (2005);Weather Man, The (2005);Running With Scissors (2006);Imaginary Heroes (2004);Hard Candy (2005);Lords of Dogtown (2005);Candy (2006)"
Junebug (2005),"Savages, The (2007);Friends with Money (2006);Venus (2006);Nine Lives (2005);Rachel Getting Married (2008);Squid and the Whale, The (2005);Half Nelson (2006);SherryBaby (2006);Door in the Floor, The (2004);Away from Her (2006)"
Deuce Bigalow: European Gigolo (2005),"Benchwarmers, The (2006);Longest Yard, The (2005);Little Man (2006);White Chicks (2004);Fun with Dick and Jane (2005);Ringer, The (2005);Dukes of Hazzard, The (2005);Employee of the Month (2006);Without a Paddle (2004);Scary Movie 3 (2003)"
"Skeleton Key, The (2005)","Hide and Seek (2005);Exorcism of Emily Rose, The (2005);Secret Window (2004);Amityville Horror, The (2005);Ring Two, The (2005);Forgotten, The (2004);White Noise (2005);Dead Silence (2007);Cry_Wolf (a.k.a. Cry Wolf) (2005);House of Wax (2005)"
Four Brothers (2005),"Hostage (2005);Assault on Precinct 13 (2005);16 Blocks (2006);Into the Blue (2005);Smokin' Aces (2006);Gridiron Gang (2006);Shooter (2007);Street Kings (2008);Death Sentence (2007);Punisher, The (2004)"
The Great Raid (2005),"Saints and Soldiers (2003);Greatest Game Ever Played, The (2005);Alamo, The (2004);Tuskegee Airmen, The (1995);Open Range (2003);Invincible (2006);Flyboys (2006);To End All Wars (2001);Glory Road (2006);World Trade Center (2006)"
Pretty Persuasion (2005),"Factory Girl (2006);Candy (2006);Marie Antoinette (2006);Last Kiss, The (2006);Gia (1998);American Teen (2008);Imagine Me & You (2005);Running With Scissors (2006);Lords of Dogtown (2005);Mean Girls (2004)"
Grizzly Man (2005),"Little Dieter Needs to Fly (1997);No Direction Home: Bob Dylan (2005);DiG! (2004);Hearts of Darkness: A Filmmakers Apocalypse (1991);Dark Days (2000);Squid and the Whale, The (2005);Encounters at the End of the World (2008);Bus 174 (Ônibus 174) (2002);Tristram Shandy: A Cock and Bull Story (2005);New World, The (2005)"
"Girl in the Café, The (2005)","I've Loved You So Long (Il y a longtemps que je t'aime) (2008);Starting Out in the Evening (2007);Visitor, The (2007);Venus (2006);Namesake, The (2006);Frozen River (2008);Away from Her (2006);Last Chance Harvey (2008);Off the Map (2003);The Last Station (2009)"
Duma (2005),"Prize Winner of Defiance Ohio, The (2005);Akeelah and the Bee (2006);Saint Ralph (2004);Sweet Land (2005);Hoax, The (2007);Joyeux Noël (Merry Christmas) (2005);Under the Same Moon (Misma luna, La) (2007);Proof (2005);Millions (2004);North Country (2005)"
Animal Farm (1954),"Blackadder's Christmas Carol (1988);Blackadder Back & Forth (1999);Fido (2006);Dumplings (Gaau ji) (2004);Call of Cthulhu, The (2005);Sweeney Todd (2006);Daria: Is It College Yet? (2002);Orphanage, The (Orfanato, El) (2007);Metal: A Headbanger's Journey (2005);Chocolate (2008)"
"40-Year-Old Virgin, The (2005)",Wedding Crashers (2005);Knocked Up (2007);Anchorman: The Legend of Ron Burgundy (2004);Superbad (2007);Forgetting Sarah Marshall (2008);Talladega Nights: The Ballad of Ricky Bobby (2006);Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006);Dodgeball: A True Underdog Story (2004);Harold and Kumar Go to White Castle (2004);Role Models (2008)
Red Eye (2005),"World Trade Center (2006);Flightplan (2005);Ladder 49 (2004);Cellular (2004);Derailed (2005);Brave One, The (2007);I Think I Love My Wife (2007);Out of Time (2003);Manchurian Candidate, The (2004);Taking Lives (2004)"
Hidden (a.k.a. Cache) (Caché) (2005),"Child, The (L'enfant) (2005);Return, The (Vozvrashcheniye) (2003);White Ribbon, The (Das weiße Band) (2009);Seventh Continent, The (Der siebente Kontinent) (1989);4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007);Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990);Five Obstructions, The (Fem benspænd, De) (2003);Paranoid Park (2007);Divo, Il (2008);Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)"
Asterix & Obelix vs. Caesar (Astérix et Obélix contre César) (1999),"Astro Boy (2009);Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002);Planet 51 (2009);Ice Age: Dawn of the Dinosaurs (2009);Meet Dave (2008);Arthur and the Invisibles (2007);Shrek the Halls (2007);Puss in Boots (2011);Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010);Tale of Despereaux, The (2008)"
